Manmino,English,Function,Origin,Korean,Japanese,Sanskrit,Chinese,Malaysian,Indonesian,Javanese,Tagalog,Khmer,Lao,Thai,Turkish,Arabic,Spanish,Portuguese,Mongolian,Vietnamese
bentay,perverse; hentai; pervert,Quality,Sinitic,,,,變態,,,,,,,,,,,,,
bey,"contraction of ""but cey""",Action,Compound,,,,,,,,,,,,,,,,,
bey; bet,close; shut,Action,Sinitic,,,,閉,,,,,,,,,,,,,
bi'amahi,bland; tasteless,Quality,Compound,,,,,,,,,,,,,,,,,
bian,"see ""palamita""; ""bi'an ji candala""; or ""bi'anhwa""",Objects and Concept,Sinitic,,,,彼岸,,,,,,,,,,,,,
bianhwa,red spider lily,Objects and Concept,Sinitic,,,,彼岸花,,,,,,,,,,,,,
biay,sad; sorrow; grief,Quality,Sinitic,,,,悲哀,,,,,,,,,,,,,
bigaw,compare; comparison,Action,Sinitic,,,,比較,,,,,,,,,,,,,
bihenggi,airplane,Objects and Concept,Sinitic,,,,飛行機,,,,,,,,,,,,,
bikali,shine; glow; light,Objects and Concept,Koreo-Japonic,빛,ひかり,,,,,,,,,,,,,,,
bikon,tired; exhausted,Quality,Sinitic,,,,疲困,,,,,,,,,,,,,
binkon,poor,Quality,Sinitic,,,,貧困,,,,,,,,,,,,,
bit,must,Action,Sinitic,,,,必,,,,,,,,,,,,,
bityaw,need,Action,Sinitic,,,,必要,,,,,,,,,,,,,
bobo,stupid,Quality,Austronesian,,,,,,,,bobo,,,,,,,,,
boksu,box,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
bokul,boil,Action,Sound-based,,,,,,,,,,,,,,,,,
boncaw,herbs,Objects and Concept,Sinitic,,,,本草,,,,,,,,,,,,,
bongmit,honey,Objects and Concept,Sinitic,,,,蜂蜜,,,,,,,,,,,,,
boti,star,Objects and Concept,Koreo-Japonic,별,ほし,,,,,,,,,,,,,,,
bu'e,boat; ship,Objects and Concept,Koreo-Japonic,배,ふね,,,,,,,,,,,,,,,
bulengket,blanket,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
bun,minute,Objects and Concept,Sinitic,,,,分,,,,,,,,,,,,,
bunga,flower,Objects and Concept,Austronesian,,,,,bunga,bunga,,,,,,,,,,,
buni,sound; noise,Objects and Concept,Austronesian,,,,,bunyi,bunyi,,bunyi,,,,,,,,,
bunsyek,analyze; (linguistics) Analytic,Action,Sinitic,,,,分析,,,,,,,,,,,,,
busana,fashion,Objects and Concept,Sanskrit,,,भूषण (bhūṣaṇa),,,,,,,,,,,,,,
butaw,dislike,Action,Sinitic,,,,不好,,,,,,,,,,,,,
butdan,not only (compounding clause conjunction),Particle,Sinitic,,,,不但,,,,,,,,,,,,,
buthaw,dislike,Action,Sinitic,,,,不好,,,,,,,,,,,,,
butkasi'i,mysterious,Quality,Sinitic,,,,不可思議,,,,,,,,,,,,,
bungat,"to separate; divide (see also ""kelu"")",Action,Sinitic,,,,分割,,,,,,,,,,,,,
butgwijekdek,irregular; abnormal; irratic,Quality,Sinitic,,,,不規則的,,,,,,,,,,,,,
buwaya,croc/allegator,Objects and Concept,Austronesian,,,,,buaya,buaya,,buwaya,,,,,,,,,
byuyu,rich; wealthy,Quality,Sinitic,,,,富有,,,,,,,,,,,,,
byusyang,injure; get hurt,Action,Sinitic,,,,負傷,,,,,,,,,,,,,
ja,left,Quality,Sinitic,,,,左,,,,,,,,,,,,,
ca'i,difference,Objects and Concept,Sinitic,,,,差異,,,,,,,,,,,,,
jak,make,Action,Sinitic,,,,作,,,,,,,,,,,,,
calat,smart,Quality,Austroasiatic,,,,,,,,,ឆ្លាត,,ฉลาด,,,,,,
calenji,challenge,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
camuk,chew; crush (in mouth),Action,Sound-based,,,,,,,,,,,,,,,,,
can,plate,Objects and Concept,Austroasiatic,,,,,,,,,ចាន,ຈານ,จาน,,,,,,
canda; candala,month; moon,Objects and Concept,Sanskrit,,,चन्द्र (candrá),,,,,,,,,,,,,,
candahali,monday,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
cata,"six (staldalone; also see ""luk"")",Objects and Concept,Sanskrit,,,षष्ठ ṣaṣṭhá,,,,,,,,,,,,,,
catul,"four (standalone; also see ""si"")",Objects and Concept,Sanskrit,,,चतुर् cátur,,,,,,,,,,,,,,
caw,super; very (informal),Quality,Sinitic,,,,超,,,,,,,,,,,,,
cawwat,surpass; go beyond; overcome; transcend,Quality,Sinitic,,,,超越,,,,,,,,,,,,,
caya,shadow,Objects and Concept,Sanskrit,,,छाया chāyā,,,,,,,,,,,,,,
caycu,harvest; collect; gather,Action,Sinitic,,,,採取,,,,,,,,,,,,,
jeknyo,weaver woman; Vega (in Chinese Cosmology),Objects and Concept,Sinitic,,,,織女,,,,,,,,,,,,,
cen,thousand,Objects and Concept,Sinitic,,,,千,,,,,,,,,,,,,
ceng,please; request,Action,Sinitic,,,,請,,,,,,,,,,,,,
cenglamsyek,blue,Quality,Sinitic,,,,靑覽色,,,,,,,,,,,,,
cengsyek,green,Quality,Sinitic,,,,靑綠色,,,,,,,,,,,,,
cengloksyek,blue-green,Quality,Sinitic,,,,靑色,,,,,,,,,,,,,
cetcu,steal,Action,Sinitic,,,,竊取,,,,,,,,,,,,,
cetmang,despair,Objects and Concept,Sinitic,,,,切望,,,,,,,,,,,,,
cey,to be,Action,N/A,,,,,,,,,,,,,,,,,
jeyhan,limited; restricted,Quality,Sinitic,,,,制限,,,,,,,,,,,,,
jeygi,the following; next,Objects and Concept,Sinitic,,,,次期/箚記,,,,,,,,,,,,,
cici,breasts (informal; infantile),Objects and Concept,Koreo-Japonic,젖,ちち,,,,,,,,,,,,,,,
ciciko,nipple,Objects and Concept,Koreo-Japonic,,,,,,,,,,,,,,,,,
cicimi,sparrow,Objects and Concept,Compound,짹짹,すずめ,,,,,,,,,,,,,,,
