Manmino,English,Function,Origin,Korean,Japanese,Sanskrit,Chinese,Malaysian,Indonesian,Javanese,Tagalog,Khmer,Lao,Thai,Turkish,Arabic,Spanish,Portuguese,Mongolian,Vietnamese
hutan,forest,Objects and Concept,Austronesian,,,,,hutan,hutan,,,,,,,,,,,
hwa,and; (clause integrating conjunction),Particle,Sinitic,,,,和,,,,,,,,,,,,,
hwan'eng,welcome; reception,Action,Sinitic,,,,歡迎,,,,,,,,,,,,,
hwang jeluk,"lemon (fruit) (see ""jeluk"")",Objects and Concept,Compound,,,,,,,,,,,,,,,,,
hwangsyek,yellow,Quality,Sinitic,,,,黃色,,,,,,,,,,,,,
hwaybi,hide; avoid,Action,Sinitic,,,,回避,,,,,,,,,,,,,
hwayko,to go back; to return,Action,Sinitic,,,,回去,,,,,,,,,,,,,
hwaylay,to come back; to return,Action,Sinitic,,,,回來,,,,,,,,,,,,,
hwaymen,screen,Objects and Concept,Sinitic,,,,畵面,,,,,,,,,,,,,
hwaysyek,grey,Quality,Sinitic,,,,灰色,,,,,,,,,,,,,
hwaydap,answer; reply,Action,Sinitic,,,,回答,,,,,,,,,,,,,
hwetgwan,blood vessels,Objects and Concept,Sinitic,,,,血管,,,,,,,,,,,,,
hyusyek,rest,Action,Sinitic,,,,休息,,,,,,,,,,,,,
i,and; (clause coordiating conjunction),Particle,Sinitic,,,,而,,,,,,,,,,,,,
ibilisi,demon; being of evil,Objects and Concept,Arabic,,,,,,,,,,,,,ʾiblīs,,,,
ibok,clothing; clothes,Objects and Concept,Sinitic,,,,衣服,,,,,,,,,,,,,
idong,move,Action,Sinitic,,,,移動,,,,,,,,,,,,,
ifa,leaf,Objects and Concept,Koreo-Japonic,잎,は,,,,,,,,,,,,,,,
ihengdey,cousins,Objects and Concept,Sinitic,,,,異兄弟,,,,,,,,,,,,,
im'ak,music,Objects and Concept,Sinitic,,,,音樂,,,,,,,,,,,,,
imdaw,vagina (anatomy),Objects and Concept,Sinitic,,,,陰道,,,,,,,,,,,,,
imi,meaning,Objects and Concept,Sinitic,,,,意味,,,,,,,,,,,,,
imlyaw,drink; beverage,Objects and Concept,Sinitic,,,,飲料,,,,,,,,,,,,,
ima,aunt,Objects and Concept,Sinitic,,,,異母,,,,,,,,,,,,,
imsyeng,sound,Objects and Concept,Sinitic,,,,音聲,,,,,,,,,,,,,
indonesya,Indonesia,Objects and Concept,Other,,,,,,,,,,,,,,,,,
indonesyao,indonesian (language),Objects and Concept,Compound,,,,,,,,,,,,,,,,,
inglisio,english (language),Objects and Concept,Compound,,,,,,,,,,,,,,,,,
inha,the milky way; our galaxy,Objects and Concept,Sinitic,,,,銀河,,,,,,,,,,,,,
intanet,internet,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
ibu,uncle,Objects and Concept,Sinitic,,,,異父,,,,,,,,,,,,,
isi,medical doctor,Objects and Concept,Sinitic,,,,醫士,,,,,,,,,,,,,
it,"one (compounds; also see ""eka"")",Objects and Concept,Sinitic,,,,一,,,,,,,,,,,,,
Italiya,Italy,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
jaket,jacket,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
jangdwan,length; height,Objects and Concept,Sinitic,,,,長短,,,,,,,,,,,,,
janggut,beard,Objects and Concept,Austronesian,,,,,jenggot,janggut,,,,,,,,,,,
jay,to be (at a place),Action,Sinitic,,,,在,,,,,,,,,,,,,
jwenba,disseminate; broadcast; transmit,Action,Sinitic,,,,傳播,,,,,,,,,,,,,
ji,s; of; (posession marker); (genitive),Particle,Sinitic,,,,之,,,,,,,,,,,,,
ji,-ing (verbal adjective marker),Particle,Sinitic,,,,之,,,,,,,,,,,,,
jiji,older sister,Objects and Concept,Sinitic,,,,姉姉,,,,,,,,,,,,,
jicwenca,bicycle,Objects and Concept,Sinitic,,,,自轉車,,,,,,,,,,,,,
jik'ep,work; job; career,Action,Sinitic,,,,職業,,,,,,,,,,,,,
jikjep,directly,Quality,Sinitic,,,,直接,,,,,,,,,,,,,
jiksen,straight,Quality,Sinitic,,,,直線,,,,,,,,,,,,,
jik'wi,ascend (to the throne),Action,Sinitic,,,,卽位,,,,,,,,,,,,,
jilyaw,heal; fix,Action,Sinitic,,,,治療,,,,,,,,,,,,,
jimay,sisters,Objects and Concept,Sinitic,,,,姉妹,,,,,,,,,,,,,
jitmun,ask,Action,Sinitic,,,,質問,,,,,,,,,,,,,
jekmut,cloth,Objects and Concept,Sinitic,,,,織物,,,,,,,,,,,,,
jisi,son,Objects and Concept,Sinitic,,,,子時,,,,,,,,,,,,,
jinam,son,Objects and Concept,Sinitic,,,,子男,,,,,,,,,,,,,
jinen,nature; natural,Quality,Sinitic,,,,自然,,,,,,,,,,,,,
jengki,steam,Objects and Concept,Sinitic,,,,蒸氣,,,,,,,,,,,,,
jengo,noon,Objects and Concept,Sinitic,,,,正午,,,,,,,,,,,,,
jinsit,true;  truth; truly; really; absolute truth,Quality,Sinitic,,,,眞實,,,,,,,,,,,,,
jinyo,daughter,Objects and Concept,Sinitic,,,,子女,,,,,,,,,,,,,
jipay,to rule (over),Action,Sinitic,,,,支配,,,,,,,,,,,,,
jisin,self,Objects and Concept,Sinitic,,,,自身,,,,,,,,,,,,,
citsyek,choke; choking; suffocate; asphyxia,Action,Sinitic,,,,窒息,,,,,,,,,,,,,
jiyu,freedom,Objects and Concept,Sinitic,,,,自由,,,,,,,,,,,,,
jeng,floors (of a building),Objects and Concept,Sinitic,,,,層,,,,,,,,,,,,,
jonggaw,religion,Objects and Concept,Sinitic,,,,宗敎,,,,,,,,,,,,,
jongyaw,important,Quality,Sinitic,,,,重要,,,,,,,,,,,,,
jonjay,exist,Action,Sinitic,,,,存在,,,,,,,,,,,,,
ju,week,Objects and Concept,Sinitic,,,,週,,,,,,,,,,,,,
jucong,weekday,Objects and Concept,Sinitic,,,,週中,,,,,,,,,,,,,
jumat,weekend,Objects and Concept,Sinitic,,,,週末,,,,,,,,,,,,,
junbi,prepare; get ready,Action,Sinitic,,,,準備,,,,,,,,,,,,,
cung,middle,Quality,Sinitic,,,,中,,,,,,,,,,,,,
cunggok'o,chinese (language),Objects and Concept,Sinitic,,,,中國語,,,,,,,,,,,,,
cunggok,china,Objects and Concept,Sinitic,,,,中國,,,,,,,,,,,,,
jongji,seed,Objects and Concept,Sinitic,,,,種子,,,,,,,,,,,,,
jot'ep,graduate (school),Action,Sinitic,,,,卒業,,,,,,,,,,,,,
jwa,sit,Action,Sinitic,,,,坐,,,,,,,,,,,,,
jway'ay,favorite,Quality,Sinitic,,,,最愛,,,,,,,,,,,,,
jwaygaw,most; highest,Quality,Sinitic,,,,最高,,,,,,,,,,,,,
jwaygin,recently; lately,Objects and Concept,Sinitic,,,,最近,,,,,,,,,,,,,
jwayhow,last; final; conclusion; end,Objects and Concept,Sinitic,,,,最後,,,,,,,,,,,,,
kacang,nut; peanut,Objects and Concept,Austronesian,,,,,kacang,kacang,,,,,,,,,,,
kaday,store; shop,Objects and Concept,Austronesian,,,,,kedai,kedai,,,,,,,,,,,
kaki,feet,Objects and Concept,Austronesian,,,,,kaki,kaki,,,,,,,,,,,
kaki (ji) kuku,toe nails,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
kaki(kubi),ankle,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
kaki(uwe),legs,Objects and Concept,Compound,,,,,kaki,kaki,,,,,ขา,,,,,,
kakiko,toes,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
kaknin,check (something),Action,Sinitic,,,,確認,,,,,,,,,,,,,
kala bawang,garlic,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
kalakala,spicy,Quality,Koreo-Japonic,칼칼,から,,,,,,,,,,,,,,,
kalapipal,chile pepper,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
kama,pot,Objects and Concept,Koreo-Japonic,가마,かま,,,,,,,,,,,,,,,
kambing,goat,Objects and Concept,Austronesian,,,,,kambing,kambing,,kambing,,,,,,,,,
kamela,camera,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
kamisa,shirt; top,Objects and Concept,Western: Spanish,,,,,,,,,,,,,,camiseta,,,
kampeng,wall,Objects and Concept,Austroasiatic,,,,,,,,,កំពែង,,กำแพง,,,,,,
kamwi,god (polytheism); being of good,Objects and Concept,Koreo-Japonic,검 (archaic),かみ,,,,,,,,,,,,,,,
kana,Japanese kana; syllabary,Objects and Concept,Koreo-Japonic,,かな,,,,,,,,,,,,,,,
kanbeng,take care of; nurse,Action,Sinitic,,,,看病,,,,,,,,,,,,,
kang,beside; near; next to,Quality,Austroasiatic,,,,,,,,,,ຂ້າງ,ข้าง,,,,,,
kapala,head; skull,Objects and Concept,Sanskrit,,,कपाल (kapā́la),,,,,,,,,,,,,,
kata,paper,Objects and Concept,Sanskrit/Arabic,,,कागद (kāgada),,,,,,,,,,qarṭās,,,,
kaw'i,chair; seat,Objects and Concept,Austroasiatic,,,,,,,,,កៅអី,ເກົ້າອີ້,เก้าอี้,,,,,,
kawaca,shield,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
kaybang,open,Action,Sinitic,,,,開放,,,,,,,,,,,,,
kaynem,idea; concept; noun; Objects and Concept,Objects and Concept,Sinitic,,,,槪念,,,,,,,,,,,,,
kaysi,start; to turn on; begin,Action,Sinitic,,,,開始,,,,,,,,,,,,,
kayu,keep (an animal) ; herd,Action,Koreo-Japonic,키우다,飼(か)う,,,,,,,,,,,,,,,
kek,carve,Action,Sinitic,,,,刻,,,,,,,,,,,,,
kel,shield,Objects and Concept,Austroasiatic,,,,,,,,,ខែល,,เขน,,,,,,khiên
kelu,to cut,Action,Koreo-Japonic,가르다,きる,,,,,,,,,,,,,,,
keluko,sword,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
kem,cheek,Objects and Concept,Austroasiatic,,,,,,,,,,ແກ້ມ,แก้ม,,,,,,
gen,look / see,Action,Sinitic,,,,見;觀,,,,,,,,,,,,,
gengcat,police,Objects and Concept,Sinitic,,,,警察,,,,,,,,,,,,,
kentang,potato,Objects and Concept,Austronesian,,,,,kentang,kentang,,,,,,,,,,,
keta,Buddhist temple,Objects and Concept,Sanskrit,,,क्षेत्र (kṣetra),,,,,,,,,,,,,,
gwetdeng,decide; pick; choose,Action,Sinitic,,,,決定,,,,,,,,,,,,,
geylwan,egg,Objects and Concept,Sinitic,,,,鷄卵,,,,,,,,,,,,,
geysyan,calculate,Action,Sinitic,,,,計算,,,,,,,,,,,,,
geysyok,continue; keep (verb),Action,Sinitic,,,,繼續,,,,,,,,,,,,,
gi'ek,remember; recall,Action,Sinitic,,,,記憶,,,,,,,,,,,,,
gibit,write,Action,Sinitic,,,,記,,,,,,,,,,,,,
kibot,keyboard,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
kicune,fox,Objects and Concept,Koreo-Japonic,,きつね,,,,,,,,,,,,,,,
kisyang,wake up; getting up (from bed),Action,Sinitic,,,,起床,,,,,,,,,,,,,
kilesa,sin; stress; emotional damage,Objects and Concept,Sanskrit,,,क्लेश (kleśa),,,,,,,,,,,,,,
gimsyok,metal,Objects and Concept,Sinitic,,,,金屬,,,,,,,,,,,,,
king,ginger,Objects and Concept,Austroasiatic,,,,,,,,,,ຂີງ,ขิง,,,,,,
gip,give,Action,Sinitic,,,,給,,,,,,,,,,,,,
kkkkk[...],laughter; LOL (informal; online),,N/A,,,,,,,,,,,,,,,,,
ko,this,Objects and Concept,Koreo-Japonic,그,こ,,,,,,,,,,,,,,,
ko,portrusion (from an affixed noun),Objects and Concept,N/A,,,,,,,,,,,,,,,,,
koci,tip (object); twist (literary),Objects and Concept,Koreo-Japonic,꼭지,おし,,,,,,,,,,,,,,,
kodi,here,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
kofi,coffee,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
godok,lonely,Quality,Sinitic,,,,孤獨,,,,,,,,,,,,,
gokjey,international,Quality,Sinitic,,,,國際,,,,,,,,,,,,,
gokga,nation,Objects and Concept,Sinitic,,,,國家,,,,,,,,,,,,,
goknay,domestic (not international),Quality,Sinitic,,,,國內,,,,,,,,,,,,,
golaw,old; elder,Quality,Sinitic,,,,古老,,,,,,,,,,,,,
kom; koma,kid; child; children,Objects and Concept,Koreo-Japonic,꼬마,こ,,,,,,,,,,,,,,,
koma,bear,Objects and Concept,Koreo-Japonic,곰,くま,,,,,,,,,,,,,,,
kompyuta,computer,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
kon,butt,Objects and Concept,Austroasiatic,,,,,,,,,,ກົ້ນ,ก้น,,,,,,
gongbeng,fair; just,Quality,Sinitic,,,,公平,,,,,,,,,,,,,
konggang,airport,Objects and Concept,Sinitic,,,,空港,,,,,,,,,,,,,
kongki,air,Objects and Concept,Sinitic,,,,空氣,,,,,,,,,,,,,
gongsyek,equation; formula,Quality,Sinitic,,,,公式,,,,,,,,,,,,,
konok,feather,Objects and Concept,Austroasiatic,,,,,,,,,,ຂົນ+ນົກ,ขนนก,,,,,,
kontulola,controller,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
kot,place / space,Objects and Concept,Koreo-Japonic,곳,,,,,,,,,,,,,,,,
kot,thing,Objects and Concept,Koreo-Japonic,것,こと,,,,,,,,,,,,,,,
kotong,pain; agony,Objects and Concept,Sinitic,,,,苦痛,,,,,,,,,,,,,
gyu,"nine (compounds; also see ""nawa"")",Objects and Concept,Sinitic,,,,九,,,,,,,,,,,,,
gowmay,buy,Action,Sinitic,,,,購買,,,,,,,,,,,,,
gowjaw,structure,Objects and Concept,Sinitic,,,,構造,,,,,,,,,,,,,
gyu,old,Quality,Sinitic,,,,久,,,,,,,,,,,,,
kubi,neck; throat,Objects and Concept,Koreo-Japonic,,くび,,,,,,,,,,,,,,,
kucing,cat; other felines,Objects and Concept,Austronesian,,,,,kucing,kucing,,,,,,,,,,,
kuku,nails (anatomy),Objects and Concept,Austronesian,,,,,kuku,kuku,,,,,,,,,,,
kuku,nails (on fingers or toes),Objects and Concept,Austronesian,,,,,kuku,kuku,kuku,kuko,,,,,,,,,
kulat,fungi; fungus; mushroom,Objects and Concept,Austronesian,,,,,kulat,,,,,,,,,,,,
kulit,skin; leather,Objects and Concept,Austronesian,,,,,kulit,kulit,,,,,,,,,,,
kung,black,Quality,Koreo-Japonic,검은,くろ,,,,,,,,,,,,,,,
kung pipal,black pepper,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
kutu,shoes; boots; footwear,Objects and Concept,Koreo-Japonic,구두,,,,,,,,,,,,,,,,
kwa,fear,Objects and Concept,Austroasiatic,,,,,,,,,,ກົວ,กลัว,,,,,,
gwao,mistake; blame; fault,Objects and Concept,Sinitic,,,,過誤,,,,,,,,,,,,,
gwada,extra; excess; remaining,Quality,Sinitic,,,,過多,,,,,,,,,,,,,
gwadasyuymen,oversleep; sleep in,Action,Sinitic,,,,過多睡眠,,,,,,,,,,,,,
kwakwak,duck; weird; strange,Objects and Concept,Sound-based,,,,,,,,,,,,,,,,,
gwako,past,Objects and Concept,Sinitic,,,,過去,,,,,,,,,,,,,
gwangkwat,vast,Quality,Sinitic,,,,廣闊,,,,,,,,,,,,,
gwanlen,related to; about,Quality,Sinitic,,,,關聯,,,,,,,,,,,,,
gwaysyu,monster; beast,Objects and Concept,Sinitic,,,,怪獸,,,,,,,,,,,,,
gwibom,norm; standard; model; prescribed,Objects and Concept,Sinitic,,,,規範,,,,,,,,,,,,,
gwijekdek,regular; periodic; normal,Quality,Sinitic,,,,規則的,,,,,,,,,,,,,
gwisin,spirits; ghosts,Objects and Concept,Sinitic,,,,鬼神,,,,,,,,,,,,,
kyaceng,domestic (at home),Quality,,,,,,,,,,,,,,,,,,
gajok,family,Objects and Concept,Sinitic,,,,家族,,,,,,,,,,,,,
gawsit,classroom,Objects and Concept,Sinitic,,,,敎室,,,,,,,,,,,,,
gawyok,teach; inform; tell,Action,Sinitic,,,,敎育,,,,,,,,,,,,,
gethon,marry,Action,Sinitic,,,,結婚,,,,,,,,,,,,,
ko,go; pass (e.g. days); leave,Action,Sinitic,,,,去,,,,,,,,,,,,,
labip,lips,Objects and Concept,Austronesian,,,,,bibir,bibir,,labi,,,,,,,,,
lagu,lag,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
laja,king,Objects and Concept,Sanskrit,,,राजन् rā́jan,,,,,,,,,,,,,,
lajini,queen (wife of king),Objects and Concept,Sanskrit,,, ,,,,,,,,,,,,,,
lajini,queen (female ruler),Objects and Concept,Sanskrit,,, ,,,,,,,,,,,,,,
lang'it,sky,Objects and Concept,Austronesian,,,,,langit,langit,,langit,,,,,,,,,
manju’o,manchu language,Objects and Concept,Sinitic,,,,滿洲語,,,,,,,,,,,,,
langka,roof,Objects and Concept,Austroasiatic,,,,,,,,,,ຫຼັງ+ຄາ(枷),หลังคา,,,,,,
langkay,body; torso,Objects and Concept,Austroasiatic,,,,,,,,,,ຮ່າງກາຍ,ร่างกาย,,,,,,
lantay,floor,Objects and Concept,Austronesian,,,,,lantai,lantai,,,,,,,,,,,
laot,sea,Objects and Concept,Austronesian,,,,,laut,laut,,lawa,,,,,,,,,
lay,come,Action,Sinitic,,,,來,,,,,,,,,,,,,
lema,weak,Quality,Austronesian,,,,,lemah,lemah,,,,,,,,,,,
leng,cool (literal and as English slang),Quality,Sinitic,,,,冷,,,,,,,,,,,,,
lenken,arms,Objects and Concept,Compound,,,,,lengan,,,,,,แขน,,,,,,
lenken-ko,wrist,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
lensip,practice,Action,Sinitic,,,,練習,,,,,,,,,,,,,
letca,train,Objects and Concept,Sinitic,,,,列車,,,,,,,,,,,,,
ley,example,Objects and Concept,Sinitic,,,,例,,,,,,,,,,,,,
li,marks a verb as a passive verb; where the object performs the action to a subject,Particle,Koreo-Japonic,C+이,られ,,,,,,,,,,,,,,,
lida,tongue,Objects and Concept,Austronesian,,,,,lidah,lidah,,,,,,,,,,,
ligay,understand; comprehend,Action,Sinitic,,,,理解,,,,,,,,,,,,,
lip,stand; to rise; to lift; grow,Action,Sinitic,,,,立,,,,,,,,,,,,,
lip,elevator; a lift,Objects and Concept,Sinitic,,,,口+立,,,,,,,,,,,,,
loheng,visit; travel,Action,Sinitic,,,,旅行,,,,,,,,,,,,,
lomansa,Romance (linguistics),Objects and Concept,Western: Spanish,,,,,,,,,,,,,,romanza,,,
losyao,russian (language),Objects and Concept,Compound,,,,,,,,,,,,,,,,,
lu,(direct object marker); (accusative),Particle,Koreo-Japonic,을/를,を,,,,,,,,,,,,,,,
lyok,"six (compounds; see also ""sasa"")",Objects and Concept,Sinitic,,,,六,,,,,,,,,,,,,
lupa,form; shape; image; photograph,Objects and Concept,Sanskrit,,,रूप rūpá,,,,,,,,,,,,,,
lutu,season,Objects and Concept,Sanskrit,,,ऋतु (ṛtú),,,,,,,,,,,,,,
luwang,room,Objects and Concept,Austronesian,,,,,ruang,ruang,,,រោង,,โรง,,,,,,
lweng,yellow,Quality,Austronesian,,,,,,,,,,,,,,,,,
lwisi,like; similar,Quality,Sinitic,,,,類似,,,,,,,,,,,,,
lyawli,to cook,Action,Sinitic,,,,料理,,,,,,,,,,,,,
lyawli (ji) lwang,kitchen,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
yawwan,far,Quality,Sinitic,,,,遙遠,,,,,,,,,,,,,
mabop,magic,Objects and Concept,Sinitic,,,,魔法,,,,,,,,,,,,,
maha,expensive,Quality,Sanskrit,,,महार्घ (mahārgha),,,,,,,,,,,,,,
mala,angry; mad; upset,Quality,Austronesian,,,,,marah,marah,,,,,,,,,,,
malaysiya,Malaysia,Objects and Concept,Other,,,,,,,,,,,,,,,,,
malay'o,malaysian (language),Objects and Concept,Compound,,,,,,,,,,,,,,,,,
mama,mom; mother; mama,Objects and Concept,N/A,,,,,,,,,,,,,,,,,
man,ten-thousand; (poetic) all,Objects and Concept,Sinitic,,,,萬,,,,,,,,,,,,,
mang,busy,Quality,Sinitic,,,,忙,,,,,,,,,,,,,
mangkuk,bowl,Objects and Concept,Austronesian,,,,,mangkuk,mangkuk,mangkok,mangkok,,,,,,,,,
mangkak,forget,Action,Sinitic,,,,忘却,,,,,,,,,,,,,
manhway,comics; manga,Objects and Concept,Sinitic,,,,漫畵,,,,,,,,,,,,,
manmin,everyone,Objects and Concept,Sinitic,,,,萬民,,,,,,,,,,,,,
manu; manusya,human,Objects and Concept,Sanskrit,,,मनुष्य (manuṣya),,,,,,,,,,,,,,
mata,eyes,Objects and Concept,Austronesian,,,,,mata,mata,,mata,,,,,,,,,
matwi,village; town; rural; countryside,Objects and Concept,Koreo-Japonic,마을,まち,,,,,,,,,,,,,,,
mawsu,mouse (computing),Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
maya,illusion,Objects and Concept,Sanskrit,,,माया māyā,,,,,,,,,,,,,,
maya,to put in an illusion,Action,Sanskrit,,,माया māyā,,,,,,,,,,,,,,
mayhway,everytime; each time,Quality,Sinitic,,,,每回,,,,,,,,,,,,,
mayjang,to bury (funeral),Action,Sinitic,,,,埋葬,,,,,,,,,,,,,
maymay,younger sister,Objects and Concept,Sinitic,,,,妹妹,,,,,,,,,,,,,
maynen,yearly; every year,Objects and Concept,Sinitic,,,,每年,,,,,,,,,,,,,
maynit,everyday; daily,Objects and Concept,Sinitic,,,,每日,,,,,,,,,,,,,
mayula,peafowl,Objects and Concept,Sanskrit,,,मयूर mayūra,,,,,,,,,,,,,,
mengji,"name (Sinitic form: also see ""naman"")",Objects and Concept,Sinitic,,,,名字,,,,,,,,,,,,,
mi,still; yet,Quality,Sinitic,,,,未,,,,,,,,,,,,,
miji,rainbow,Objects and Concept,Koreo-Japonic,무지개,にじ,,,,,,,,,,,,,,,
milay,future,Objects and Concept,Sinitic,,,,未來,,,,,,,,,,,,,
miley,beautiful,Quality,Sinitic,,,,美麗,,,,,,,,,,,,,
misyut,art,Objects and Concept,Sinitic,,,,美術,,,,,,,,,,,,,
mawji,hat,Objects and Concept,Sinitic,,,,帽子,,,,,,,,,,,,,
moli,horse,Objects and Concept,Altaic,,,,,,,,,,,,,,,,морь,
mong,dream,Action,Sinitic,,,,夢,,,,,,,,,,,,,
monyet,monkey,Objects and Concept,Austronesian,,,,,monyet,monyet,,,,,,,,,,,
moyek,trade; commerce,Objects and Concept,Sinitic,,,,貿易,,,,,,,,,,,,,
mu,absence; without,Quality,Sinitic,,,,無,,,,,,,,,,,,,
mujeyhan,unlimited; infinite,Quality,Sinitic,,,,無制限,,,,,,,,,,,,,
mula,cheap,Quality,Austronesian,,,,,murah,murah,,mura,,,,,,,,,
muley,group; crowd,Objects and Concept,Koreo-Japonic,무리,むれ,,,,,,,,,,,,,,,
mun,sentence,Objects and Concept,Sinitic,,,,文,,,,,,,,,,,,,
munbop,grammar,Objects and Concept,Sinitic,,,,文法,,,,,,,,,,,,,
mundey,problem; issue,Objects and Concept,Sinitic,,,,問題,,,,,,,,,,,,,
munhak,Literature,Objects and Concept,Sinitic,,,,文學,,,,,,,,,,,,,
munhwa,culture; civilization,Objects and Concept,Sinitic,,,,文化,,,,,,,,,,,,,
munji,letters; script; writing system; morpheme,Objects and Concept,Sinitic,,,,文字,,,,,,,,,,,,,
may'u,monsoon,Objects and Concept,Sinitic,,,,梅雨,,,,,,,,,,,,,
mwisu,water,Objects and Concept,Koreo-Japonic,물,みず,,,,,,,,,,,,,,,
mwisuboti,Mercury (planet),Objects and Concept,Compound,,,,,,,,,,,,,,,,,
mwisuhali,wednesday,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
myaw,cat; kitty,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
myaw,second,Objects and Concept,Sinitic,,,,秒,,,,,,,,,,,,,
na,(topic marker),Particle,Koreo-Japonic,은/는,は,,,,,,,,,,,,,,,
nadang,window,Objects and Concept,Austroasiatic,,,,,,,,,,,หน้าต่าง,,,,,,
naga,naga; dragon,Objects and Concept,Sanskrit,,,नाग (nāgá),,,,,,,,,,,,,,
nagala,city,Objects and Concept,Sanskrit,,,नगर (nágara),,,,,,,,,,,,,,
nakyat,ugly,Quality,Austroasiatic,,,,,,,,,,ຫນ້າກຽດ,น่าเกลียด,,,,,,
nala,man; male,Objects and Concept,Sanskrit,,,नर (nára),,,,,,,,,,,,,,
nama,"name (Sanskrit form; also see ""mengji"")",Objects and Concept,Sanskrit,,,नामन् nā́man,,,,,,,,,,,,,,
namgon,penis (anatomy),Objects and Concept,Sinitic,,,,男根,,,,,,,,,,,,,
namlay,saliva; spit,Objects and Concept,Austroasiatic,,,,,,,,,,ນ້ໍາລາຍ,น้ำลาย,,,,,,
namsek,gay; male homosexuality,Objects and Concept,Sinitic,,,,男色,,,,,,,,,,,,,
namta,cry; weep; tears,Action,Austroasiatic,,,,,,,,,+ តា,ນ້ຳ + ຕາ,น้ำตา,,,,,,
nangay,difficult; hard (task); tough,Quality,Sinitic,,,,難解,,,,,,,,,,,,,
nawa,"nine (standalone; also see ""gyu"")",Objects and Concept,Sanskrit,,,नवन् návan,,,,,,,,,,,,,,
nay,inside,Quality,Sinitic,,,,內,,,,,,,,,,,,,
ne,(indirect object marker); (dative),Particle,Koreo-Japonic,에,に,,,,,,,,,,,,,,,
ne,by; (agent marker),Particle,Koreo-Japonic,에,に,,,,,,,,,,,,,,,
nehoy,scent; smell,Quality,Koreo-Japonic,냄새,におい,,,,,,,,,,,,,,,
nemjak,sticky; (ling) Agglutinative,Action,Sinitic,,,,粘着,,,,,,,,,,,,,
nen,"year (in compounds; also see ""tahon"")",Objects and Concept,Sinitic,,,,年,,,,,,,,,,,,,
neng,able; can,Action,Sinitic,,,,能,,,,,,,,,,,,,
nenglik,ability; talent,Objects and Concept,Sinitic,,,,能力,,,,,,,,,,,,,
nenleng,age,Objects and Concept,Sinitic,,,,年齡,,,,,,,,,,,,,
ni,"two (compounds; also see ""dwi"")",Objects and Concept,Sinitic,,,,二,,,,,,,,,,,,,
nifa,teeth,Objects and Concept,Koreo-Japonic,이빨,は,,,,,,,,,,,,,,,
nimsin,pregnancy; conception,Objects and Concept,Sinitic,,,,妊娠,,,,,,,,,,,,,
ninsik,recognize,Action,Sinitic,,,,認識,,,,,,,,,,,,,
nipkow,enterance,Objects and Concept,Sinitic,,,,入口,,,,,,,,,,,,,
nit,"sun (compounds; also see ""hali"")",Objects and Concept,Sinitic,,,,日,,,,,,,,,,,,,
nitbon,japan,Objects and Concept,Sinitic,,,,日本,,,,,,,,,,,,,
nitbon'o,japanese (language),Objects and Concept,Sinitic,,,,日本語,,,,,,,,,,,,,
nitcut,sunrise,Action,Sinitic,,,,日出,,,,,,,,,,,,,
nitjihali,sunday,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
nitsyang,daily life; ordinary,Quality,Sinitic,,,,日常,,,,,,,,,,,,,
nolok,surprise,Objects and Concept,Koreo-Japonic,놀라다,おどろき,,,,,,,,,,,,,,,
nuli,slow; late,Quality,Koreo-Japonic,느리다,,,,,,,,,,,,,,,,
numpa,pond; swamp,Objects and Concept,Koreo-Japonic,늪,ぬま,,,,,,,,,,,,,,,
nyak,if (hypothetical - concluding),Particle,Sinitic,,,,若,,,,,,,,,,,,,
nyatun,summer,Objects and Concept,Koreo-Japonic,여름,なつ,,,,,,,,,,,,,,,
nyusu,news,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
o,"five (compounds; see also ""panca"")",Objects and Concept,Sinitic,,,,五,,,,,,,,,,,,,
ogaw,face,Objects and Concept,Koreo-Japonic,얼굴,かお,,,,,,,,,,,,,,,
oji,sir,Objects and Concept,Koreo-Japonic,아쩌씨,おじさん,,,,,,,,,,,,,,,
